Bezeichnung;Preis/Flasche (0,75l);Weinart;Herkunfstland;Jahrgang;Weingut;Region;Rebsorte
Montepulciano D'Abruzzo;24,90 €;Rotwein;Italien;2019;Cipresso;Abruzzen;Montepulciano
Châteauneuf-du-Pape Chante le Merle;152,41 €;Rotwein;Frankreich;2018;Domaine Bosquet des P;Rhone;Cuvée
50 Barricas Syrah;32,40 €;Rotwein;Spanien;2018;Bodegas Alceno;Jumilla DOP;Syrah
Blaufränkisch Rosé halbtrocken.;48,50 €;Rosé;Österreich;2019;Winzinger;Burgenland;Blaufränkisch.
Jolie-Pitt & Perrin Rosé trocken;39,80 €;Rosé;Frankreich;2021;Miravali;Provence;Cuvée
La Rosaline Grenache Syrah Rosé;28,50 €;Rosé;Frankreich;2021;Foncalieu;Languedoc-Roussillon;Cuvée
Crianza;32,20 €;Rotwein;Spanien;2018;Bodegas Beronia;Rioja DOCa;Tempranillo
Chardonnay trocken;25,50 €;Weißwein;Österreich;2019;Winzinger;Burgenland;Chardonnay
Lagar de Cervera Albarino;37,90 €;Weißwein;Spanien;2020;Bodegas Lagar de Forne;Rias Baixas DOP;Albarino
Lebenswerk Riesling trocken;28,70 €;Weißwein;Deutschland;2021;Karl Pfaffmann;Pfalz;Riesling
Rioja Reserva;41,10 €;Rotwein;Spanien;2017;Cune;Rioja DOCa;Cuvée
Zweigelt Rosé trocken;59,20 €;Rosé;Österreich;2019;Winzinger;Burgenland;Zweigelt
Bastide Miraflors Black Slate;55,70 €;Rotwein;Frankreich;2019;Domaine Lafage;Languedoc-Roussillon;Cuvée
Pinot Gris Grand Cru Kessler;55,00 €;Weißwein.;Frankreich;2015;Domaines Schlumberge;Elsass;Grauburgunder
Rioja Gran Reserva;33,30 €;Rotwein;Spanien;2015;Nucerro;Rioja DOCa;Tempranillo
Brut Premium Réserve Rosé 1er Cru;99,90 €;Schaumwein;Frankreich;2020;Champagne Charles Mi;Champagne;Cuvée
Barolo;82,50 €;Rotwein;Italien;2017;Gianfranco Alessandria;Piemont;Nebbiolo
Blanco Rioja DOCa;36,50 €;Weißwein;Spanien;2021;Bodegas Muga;Rioja DOCa;Viura
L'Aura Weißburgunger;21,90 €;Weißwein;Deutschland;2021;Henrici;Rheinhessen;Cuvée
